PlantNo,Width,Age,Temperature,Rain expected in 2 weeks,SoilType,WhiteRoots,PestAttacks,FloweringSeason,Result
No373,20,6,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No374,24,6,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No375,20,8,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No376,23,5,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No377,19,7,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No378,20,8,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No379,23,6,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No380,21,7,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No381,20,8,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No382,23,5,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No383,18,6,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No384,19,6,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No385,22,8,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No386,21,7,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No387,19,8,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No388,18,6,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No389,22,6,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No390,21,6,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No391,25,7,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No392,21,5,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No393,21,6,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No394,23,6,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No395,23,8,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No396,24,5,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No397,24,5,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No398,21,7,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No399,18,7,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No400,25,5,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No401,18,8,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No402,19,8,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No403,25,5,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No404,23,5,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No405,21,5,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No406,20,7,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No407,22,7,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No408,24,8,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No409,24,7,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No410,18,8,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No411,24,6,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No412,21,7,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No413,21,5,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No414,22,7,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No415,22,6,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No416,22,8,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No417,22,5,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No418,20,5,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No419,25,5,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No420,25,6,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No421,19,5,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No422,24,7,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No423,22,6,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No424,25,8,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No425,24,5,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No426,18,5,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No427,19,7,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No428,25,8,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No429,24,8,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No430,19,5,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No431,18,6,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No432,20,8,30,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No433,23,8,31,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No434,25,5,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No435,19,5,29,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No436,20,5,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No437,18,6,28,No,Red-Yellow,No,Yes,No,Ready for inoculation. Harvest might be affected
No438,25,8,31,No,Red-Yellow,No,No,No,Ready for inoculation
No439,22,5,28,No,Red-Yellow,No,No,No,Ready for inoculation
No440,19,6,28,No,Red-Yellow,No,No,No,Ready for inoculation
No441,25,5,29,No,Red-Yellow,No,No,No,Ready for inoculation
No442,21,6,28,No,Red-Yellow,No,No,No,Ready for inoculation
No443,25,6,30,No,Red-Yellow,No,No,No,Ready for inoculation
No444,20,7,28,No,Red-Yellow,No,No,No,Ready for inoculation
No445,20,8,31,No,Red-Yellow,No,No,No,Ready for inoculation
No446,22,5,29,No,Red-Yellow,No,No,No,Ready for inoculation
No447,22,7,31,No,Red-Yellow,No,No,No,Ready for inoculation
No448,23,6,31,No,Red-Yellow,No,No,No,Ready for inoculation
No449,19,7,29,No,Red-Yellow,No,No,No,Ready for inoculation
No450,23,6,31,No,Red-Yellow,No,No,No,Ready for inoculation
No451,18,7,28,No,Red-Yellow,No,No,No,Ready for inoculation
No452,25,6,29,No,Red-Yellow,No,No,No,Ready for inoculation
No453,19,5,29,No,Red-Yellow,No,No,No,Ready for inoculation
No454,19,6,28,No,Red-Yellow,No,No,No,Ready for inoculation
No455,20,5,28,No,Red-Yellow,No,No,No,Ready for inoculation
No456,21,6,28,No,Red-Yellow,No,No,No,Ready for inoculation
No457,22,8,31,No,Red-Yellow,No,No,No,Ready for inoculation
No458,19,5,30,No,Red-Yellow,No,No,No,Ready for inoculation
No459,22,5,28,No,Red-Yellow,No,No,No,Ready for inoculation
No460,22,8,28,No,Red-Yellow,No,No,No,Ready for inoculation
No461,23,7,29,No,Red-Yellow,No,No,No,Ready for inoculation
No462,18,6,29,No,Red-Yellow,No,No,No,Ready for inoculation
No463,21,5,30,No,Red-Yellow,No,No,No,Ready for inoculation
No464,19,6,31,No,Red-Yellow,No,No,No,Ready for inoculation
No465,19,5,29,No,Red-Yellow,No,No,No,Ready for inoculation
No466,24,6,28,No,Red-Yellow,No,No,No,Ready for inoculation
No467,21,6,28,No,Red-Yellow,No,No,No,Ready for inoculation
No468,21,7,29,No,Red-Yellow,No,No,No,Ready for inoculation
No469,21,6,29,No,Red-Yellow,No,No,No,Ready for inoculation
No470,25,7,29,No,Red-Yellow,No,No,No,Ready for inoculation
No471,21,6,29,No,Red-Yellow,No,No,No,Ready for inoculation
No472,19,8,28,No,Red-Yellow,No,No,No,Ready for inoculation
No473,24,5,29,No,Red-Yellow,No,No,No,Ready for inoculation
No474,18,6,30,No,Red-Yellow,No,No,No,Ready for inoculation
No475,19,5,31,No,Red-Yellow,No,No,No,Ready for inoculation
No476,20,7,30,No,Red-Yellow,No,No,No,Ready for inoculation
No477,22,8,30,No,Red-Yellow,No,No,No,Ready for inoculation
No478,19,8,30,No,Red-Yellow,No,No,No,Ready for inoculation
No479,19,5,31,No,Red-Yellow,No,No,No,Ready for inoculation
No480,23,7,29,No,Red-Yellow,No,No,No,Ready for inoculation
No481,22,5,30,No,Red-Yellow,No,No,No,Ready for inoculation
No482,25,7,29,No,Red-Yellow,No,No,No,Ready for inoculation
No483,25,8,31,No,Red-Yellow,No,No,No,Ready for inoculation
No484,25,7,30,No,Red-Yellow,No,No,No,Ready for inoculation
No485,21,5,29,No,Red-Yellow,No,No,No,Ready for inoculation
No486,23,5,31,No,Red-Yellow,No,No,No,Ready for inoculation
No487,25,8,29,No,Red-Yellow,No,No,No,Ready for inoculation
No488,18,5,29,No,Red-Yellow,No,No,No,Ready for inoculation
No489,19,6,30,No,Red-Yellow,No,No,No,Ready for inoculation
No490,25,5,29,No,Red-Yellow,No,No,No,Ready for inoculation
No491,22,6,31,No,Red-Yellow,No,No,No,Ready for inoculation
No492,25,6,29,No,Red-Yellow,No,No,No,Ready for inoculation
No493,25,7,28,No,Red-Yellow,No,No,No,Ready for inoculation
No494,18,5,29,No,Red-Yellow,No,No,No,Ready for inoculation
No495,22,7,28,No,Red-Yellow,No,No,No,Ready for inoculation
No496,19,7,30,No,Red-Yellow,No,No,No,Ready for inoculation
No497,19,6,28,No,Red-Yellow,No,No,No,Ready for inoculation
No498,21,7,31,No,Red-Yellow,No,No,No,Ready for inoculation
No499,18,5,28,No,Red-Yellow,No,No,No,Ready for inoculation
No500,23,6,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No501,23,7,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No502,23,5,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No503,24,6,31,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No504,20,5,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No505,25,8,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No506,20,8,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No507,25,8,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No508,23,5,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No509,25,7,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No510,22,5,31,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No511,24,7,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No512,18,8,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No513,18,6,31,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No514,24,5,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No515,21,7,31,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No516,22,7,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No517,23,5,31,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No518,22,5,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No519,20,5,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No520,25,5,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No521,21,8,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No522,18,7,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No523,25,6,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No524,18,8,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No525,18,6,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No526,18,7,31,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No527,25,8,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No528,24,6,31,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No529,23,7,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No530,25,8,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No531,18,8,31,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No532,18,7,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No533,24,7,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No534,22,6,31,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No535,19,7,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No536,24,8,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No537,18,5,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No538,21,7,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No539,20,8,31,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No540,20,7,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No541,22,5,31,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No542,23,5,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No543,19,8,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No544,18,5,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No545,20,8,31,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No546,21,6,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No547,18,7,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No548,25,5,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No549,19,7,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No550,20,8,31,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No551,21,8,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No552,20,7,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No553,25,5,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No554,24,8,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No555,24,5,31,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No556,19,6,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No557,22,6,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No558,18,6,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No559,19,7,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No560,25,7,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No561,23,8,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No562,24,6,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No563,22,5,31,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No564,24,7,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No565,24,5,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No566,22,6,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No567,23,5,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No568,18,7,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No569,24,7,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No570,25,6,31,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No571,21,6,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No572,20,7,31,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No573,19,5,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No574,19,5,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No575,20,8,31,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No576,20,7,31,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No577,24,7,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No578,24,7,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No579,20,5,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No580,22,6,31,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No581,20,8,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No582,20,8,31,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No583,18,6,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No584,23,7,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No585,23,7,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No586,19,6,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No587,23,5,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No588,22,6,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No589,18,5,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No590,19,7,28,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No591,25,6,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No592,18,6,31,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No593,20,5,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No594,25,6,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No595,18,8,29,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No596,19,6,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No597,19,6,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No598,23,6,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No599,24,6,30,Yes,Red-Yellow,No,No,No,Ready for inoculation. Harvest might be affected
No600,24,6,28,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No601,23,5,30,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No602,19,6,31,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No603,22,8,28,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No604,25,5,28,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No605,19,6,30,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No606,23,8,30,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No607,23,7,31,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No608,18,6,31,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No609,23,6,31,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No610,25,7,30,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No611,21,8,31,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No612,18,6,29,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No613,24,5,28,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No614,18,7,28,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No615,20,5,31,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No616,21,7,29,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No617,23,8,31,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No618,20,6,28,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No619,24,7,31,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No620,20,7,29,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No621,25,6,30,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No622,21,6,31,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No623,21,5,30,Yes,Reddish-Brown,Yes,Yes,No,Disease infected.Wait until the tree recovers
No624,21,7,28,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No625,20,6,30,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No626,20,6,31,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No627,22,7,30,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No628,22,8,28,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No629,20,5,31,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No630,22,8,28,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No631,21,7,31,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No632,21,8,28,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No633,22,6,29,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No634,20,5,30,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No635,19,7,29,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No636,23,5,31,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No637,19,5,29,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No638,25,6,30,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No639,19,6,31,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No640,18,8,28,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No641,24,8,31,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No642,22,5,28,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No643,25,5,30,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No644,18,7,28,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No645,18,8,30,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No646,20,8,29,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No647,23,6,29,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No648,25,5,30,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No649,24,8,31,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No650,22,8,28,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No651,20,7,29,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No652,20,8,30,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No653,24,6,31,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No654,20,6,28,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No655,21,8,30,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No656,21,6,29,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No657,20,5,30,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No658,23,8,31,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No659,23,7,29,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No660,19,7,30,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No661,20,7,30,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No662,21,8,30,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No663,18,8,28,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No664,20,8,28,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No665,21,7,29,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No666,23,7,28,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No667,22,6,29,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No668,21,6,31,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No669,20,5,30,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No670,21,7,31,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No671,24,8,29,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No672,19,5,30,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No673,24,6,31,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No674,19,5,28,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No675,24,8,29,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No676,25,6,29,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No677,18,6,30,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No678,24,7,28,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No679,23,5,30,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No680,23,6,30,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No681,18,6,28,No,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No682,25,5,30,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No683,19,5,30,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No684,18,5,29,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No685,24,8,28,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No686,21,5,28,Yes,Red-Yellow,Yes,Yes,No,Disease infected.Wait until the tree recovers
No687,19,6,29,Yes,Red-Yellow,Yes,Yes,Yes,Disease infected.Wait until the tree recovers
No688,24,6,28,Yes,Red-Yellow,Yes,Yes,Yes,Disease infected.Wait until the tree recovers
No689,20,7,30,Yes,Red-Yellow,Yes,Yes,Yes,Disease infected.Wait until the tree recovers
No690,21,8,28,Yes,Red-Yellow,Yes,Yes,Yes,Disease infected.Wait until the tree recovers
No691,21,7,30,Yes,Red-Yellow,Yes,Yes,Yes,Disease infected.Wait until the tree recovers
No692,21,8,30,Yes,Red-Yellow,Yes,Yes,Yes,Disease infected.Wait until the tree recovers
